,S,E,I,R,D,C,L,time
0,918460.4,0.0,1.0,0.0,0.0,0.0,0.0,0
1,918460.1000003266,0.2999996733667849,0.87,0.10400000000000001,0.026000000000000002,0.12,0.0,1
2,918458.9000041892,0.0,2.2568960594715413,0.19447980117144711,0.04861995029286178,0.27599967863492914,0.06760000000000001,2
3,918458.2229372141,0.6770669749015104,1.9634995717402404,0.4291969913564873,0.10729924783912183,0.5759991759302864,0.12641187076144064,3
4,918455.514682894,0.0,5.093567749232793,0.6333994853375464,0.1583498713343866,0.9572445015378575,0.27897804438171675,4
5,918453.986622361,1.5280605332005666,4.431403941832531,1.1631305312577576,0.2907826328144394,1.663482554261787,0.4117096654694052,5
6,918447.8744506615,0.0,11.495564232948038,1.6239880843895136,0.4059970210973784,2.5530745759644815,0.7560348453175424,6
7,918444.425832178,3.448618483704,10.001140882664794,2.8195267646161106,0.7048816911540277,4.176140496590295,1.055592254853184,7
8,918430.6317198463,0.0,25.94378008302402,3.859600056591684,0.964900014147921,6.212967617540013,1.832692397000472,8
9,918422.8488465548,7.782873291415136,22.571088672230893,6.557753185226182,1.6394382963065455,9.905161235989395,2.508740036784595,9
10,918391.7192015405,0.0,58.549660682950865,8.904910221243878,2.2262275553109694,14.530914244415582,4.262539570397019,10
11,918374.1556359296,17.56356561090605,50.93820479416725,14.994074932270767,3.7485187330676917,22.892610059563413,5.788191643808521,11
12,918303.9107999584,0.0,132.1261578508904,20.290433752574486,5.072608438143622,33.359936998235376,9.746148705976,12
13,918264.2797493318,39.63105062666062,114.94975733027465,34.0315541690671,8.507888542266775,52.258641003230906,13.188781939173417,13
14,918105.8035733995,0.0,298.12127798461165,45.9801188926137,11.495029723153426,75.90281970811218,22.120510209893617,14
15,918016.4018166725,89.40175672697536,259.36551184661215,76.98473180301332,19.24618295075333,118.57439090016905,29.88707728019891,15
16,917659.0392515116,0.0,672.4518975762791,103.92708072977351,25.981770182443377,171.92179209484806,50.04007567195866,16
17,917457.4799168658,201.55933464575781,585.0331508913628,173.86207807770654,43.465519519426635,268.2050819134628,67.55260247435278,17
18,916652.4851772137,0.0,1515.7343102365078,234.5444100398576,58.6361025099644,388.40868208346063,113.01035075050926,18
19,916198.6604582826,453.824718931029,1318.6888499057618,392.1807783044544,98.0451945761136,605.4784608178223,152.45386652590744,19
20,914389.6597094396,0.0,3411.1066286880286,528.5069294979048,132.1267323744762,875.6527549599272,254.91750589789538,20
21,913370.8643753825,1018.7953340571504,2967.662766958585,883.2620188814599,220.81550472036497,1364.2615898271767,343.52950417363814,21
22,909327.4054074421,0.0,7649.277333117282,1187.7738075524371,296.9434518881093,1968.2899925449772,574.1203122729489,22
23,907055.4435665094,2271.961840932726,6654.871279812036,1983.2986501966345,495.82466254915863,3064.3693436519243,772.0529749090841,23
24,898125.1600657835,0.0,17017.695223457824,2654.835768606879,663.7089421517197,4399.00094276631,1289.1441226278125,24
25,893132.8913934631,4992.268672320506,14805.394844408309,4424.676071846494,1106.1690179616235,6839.349734872289,1725.6432495944714,25
26,873922.7247422223,0.0,37208.03780009105,5864.509966149377,1466.1274915373442,9713.263515479912,2876.039446700221,26
27,863301.6088924216,10621.11584980071,32370.99288607921,9734.145897358845,2433.5364743397113,15057.90454641323,3811.931477997095,27
28,824239.0822118984,0.0,78420.29912133607,12641.614933412518,3160.4037333531296,20917.4076010466,6327.19483328325,28
29,803126.4664695647,21112.61574233361,68225.66023556236,20797.326042031465,5199.331510507866,32224.08573561879,8217.049706718137,29
30,732174.6012942847,0.0,153776.54317734664,26008.20442269502,6502.051105673755,42951.92235672427,13518.261927320453,30
31,695398.5497838061,36776.051510478435,133785.59256429155,42000.96491313907,10500.241228284767,65306.3382014101,16905.332874751763,31
32,590030.6245625692,0.0,266417.90523621475,49610.29616097286,12402.574040243215,81692.56385559421,27300.627193540397,32
