,S,E,I,R,D,C,L,time
0,7653844.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1,7653842.700000171,1.2999998301507285,0.8711340206185568,0.10309278350515466,0.025773195876288665,1.0,0.0,1
2,7653836.850005957,0.0,7.90886867299627,0.19290029560069588,0.04822507390017397,2.2999998293817043,0.008247422680412373,2
3,7653826.568487631,10.281518326881136,6.8896845656513905,1.0082475814766,0.25206189536915,8.14999404270202,0.015432023648055671,3
4,7653780.301970544,0.0,62.54988450185536,1.7185159635575444,0.4296289908893861,18.43151236884296,0.08065980651812801,4
5,7653698.987808046,81.31416249716098,54.4893323753276,8.166957664779746,2.0417394161949365,64.69802945572883,0.13748127708460356,5
6,7653333.0938123455,0.0,494.6763336535583,13.783883200164986,3.4459708000412466,146.01219195406884,0.6533566131823797,6
7,7652690.057589166,643.0362231792643,430.9293834404709,64.78144337063492,16.19536084265873,511.9061876544729,1.102710656013199,7
8,7649797.628566012,0.0,3910.904099520404,109.17386757460588,27.29346689365147,1154.9424108341336,5.182515469650793,8
9,7644716.141760638,5081.486805374078,3406.9216124688055,512.3598572158847,128.0899643039712,4047.3714339882135,8.73390940596847,9
10,7621926.363409781,0.0,30841.745393470203,861.512957399079,215.37823934976976,9128.858239362016,40.98878857727078,10
11,7581999.298516192,39927.06489359029,26867.293667507547,4041.074338169204,1010.268584542301,31918.636590219103,68.92103659192632,11
12,7407006.128903336,0.0,238483.6148896522,6684.204965609566,1671.0512414023915,71845.70148380846,323.28594705353635,12
13,7106975.951094681,300030.1778086543,207751.19029047023,31270.14464495516,7817.53616123879,246838.8710966641,534.7363972487653,13
14,5995094.035212267,0.0,1601162.8623321175,46070.48196449356,11517.62049112339,546869.0489053186,2501.611571596413,14
15,4364690.165917569,1630403.8692946981,1394827.441928494,211138.8182873923,52784.70457184807,1658750.9647877328,3685.638557159485,15
16,1826536.2384142338,0.0,5583999.434402243,194647.46174681824,48661.86543670456,3289154.834082431,16891.105462991385,16
17,94179.42704865617,1732356.8113655779,4864411.878422572,770317.506530555,192579.37663263874,5827308.761585766,15571.79693974546,17
18,8149.35635920301,0.0,6854125.394112743,633256.199622443,158314.04990561074,7559665.572951344,61625.4005224444,18
19,0.0,9485.563539878976,5969818.309124178,1339632.901868755,334908.22546718875,7645695.643640797,50660.49596979544,19
20,0.0,0.0,5223550.993890434,1944235.2048876535,486058.80122191337,7653845.0,107170.63214950041,20
21,0.0,0.0,4550412.979213831,2482745.6166289356,620686.4041572339,7653845.0,155538.81639101228,21
22,0.0,0.0,3964019.5540574095,2951860.356754073,737965.0891885182,7653845.0,198619.64933031486,22
23,0.0,0.0,3453192.291936609,3360522.166450713,840130.5416126782,7653845.0,236148.82854032583,23
24,0.0,0.0,3008193.2852437473,3716521.371805003,929130.3429512507,7653845.0,268841.77331605705,24
25,0.0,0.0,2620539.51137213,4026644.390902296,1006661.097725574,7653845.0,297321.7097444002,25
26,0.0,0.0,2282841.1207313915,4296803.103414887,1074200.7758537217,7653845.0,322131.5512721837,26
27,0.0,0.0,1988660.563936109,4532147.548851113,1133036.8872127782,7653845.0,343744.2482731909,27
28,0.0,0.0,1732389.8727072289,4737164.101834217,1184291.0254585543,7653845.0,362571.80390808906,28
29,0.0,0.0,1509143.755090318,4915760.9959277455,1228940.2489819364,7653845.0,378973.12814673735,29
30,0.0,0.0,1314666.467063215,5071342.826349428,1267835.706587357,7653845.0,393260.87967421964,30
31,0.0,0.0,1145250.685225172,5206875.451819862,1301718.8629549656,7653845.0,405707.42610795423,31
32,0.0,0.0,997666.8340363612,5324942.532770911,1331235.6331927278,7653845.0,416550.03614558897,32
33,0.0,0.0,869101.5203718817,5427794.783702495,1356948.6959256236,7653845.0,425995.4026216729,33
34,0.0,0.0,757103.9017672577,5517392.878586194,1379348.2196465484,7653845.0,434223.5826961996,34
35,0.0,0.0,659538.965972508,5595444.827221992,1398861.206805498,7653845.0,441391.4302868955,35
36,0.0,0.0,574546.8311822363,5663438.53505421,1415859.6337635524,7653845.0,447635.5861777594,36
37,0.0,0.0,500507.29108143284,5722670.167134854,1430667.5417837135,7653845.0,453075.0828043368,37
38,0.0,0.0,436008.9288286709,5774268.856937064,1443567.214234266,7653845.0,457813.61337078834,38
39,0.0,0.0,379822.2111961101,5819218.2310431115,1454804.5577607779,7653845.0,461941.50855496514,39
40,0.0,0.0,330876.04995949805,5858375.160032402,1464593.7900081004,7653845.0,465537.45848344895,40
41,0.0,0.0,288237.383727604,5892486.093017917,1473121.5232544793,7653845.0,468670.01280259213,41
42,0.0,0.0,251093.39097920142,5922201.287216639,1480550.3218041598,7653845.0,471398.8874414334,42
43,0.0,0.0,218735.99523445897,5948087.203812433,1487021.8009531084,7653845.0,473776.10297733115,43
44,0.0,0.0,190548.36698259567,5970637.306413922,1492659.3266034806,7653845.0,475846.97630499466,44
45,0.0,0.0,165993.1650518488,5990281.46795852,1497570.36698963,7653845.0,477650.9845131138,45
46,0.0,0.0,144602.29326681676,6007394.165386546,1501848.5413466366,7653845.0,479222.5174366816,46
47,0.0,0.0,125967.97712418575,6022301.618300652,1505575.404575163,7653845.0,480591.5332309237,47
48,0.0,0.0,109734.99038137827,6035288.007694896,1508822.001923724,7653845.0,481784.12946405215,48
49,0.0,0.0,95593.8833734687,6046600.893301224,1511650.223325306,7653845.0,482823.0406155917,49
50,0.0,0.0,83275.0839696712,6056455.932824263,1514113.9832060658,7653845.0,483728.07146409794,50
51,0.0,0.0,72543.7587158476,6065040.993027322,1516260.2482568305,7653845.0,484516.4746259411,51
52,0.0,0.0,63195.336200918784,6072519.731039265,1518129.9327598163,7653845.0,485203.27944218577,52
53,0.0,0.0,55051.6073090478,6079034.714152762,1519758.6785381904,7653845.0,485801.5784831412,53
54,0.0,0.0,47957.32801664474,6084710.137586685,1521177.5343966712,7653845.0,486322.777132221,54
55,0.0,0.0,41777.259973262684,6089654.19202139,1522413.5480053476,7653845.0,486776.8110069348,55
56,0.0,0.0,36393.59245093501,6093961.126039253,1523490.2815098132,7653845.0,487172.3353617112,56
57,0.0,0.0,31703.696516536165,6097713.042786772,1524428.260696693,7653845.0,487516.8900831402,57
58,0.0,0.0,27618.168614920673,6100981.465108064,1525245.366277016,7653845.0,487817.0434229418,58
59,0.0,0.0,24059.12626763708,6103828.6989858905,1525957.1747464726,7653845.0,488078.5172086451,59
60,0.0,0.0,20958.72339809622,6106309.021281524,1526577.255320381,7653845.0,488306.29591887124,60
61,0.0,0.0,18257.856980815777,6108469.714415348,1527117.428603837,7653845.0,488504.7217025219,61
62,0.0,0.0,15905.04035957663,6110351.967712339,1527587.9919280848,7653845.0,488677.5771532279,62
63,0.0,0.0,13855.421756538404,6111991.662594769,1527997.9156486923,7653845.0,488828.1574169871,63
64,0.0,0.0,12069.929262139125,6113420.056590289,1528355.0141475722,7653845.0,488959.33300758153,64
65,0.0,0.0,10514.526006708826,6114664.379194633,1528666.0947986583,7653845.0,489073.6045272231,65
66,0.0,0.0,9159.561315122637,6115748.350947902,1528937.0877369754,7653845.0,489173.1503355707,66
67,0.0,0.0,7979.205475544978,6116692.635619564,1529173.158904891,7653845.0,489259.86807583214,67
