,S,E,I,R,D,C,L,time
0,3826921.5,0.0,1.0,0.0,0.0,3826923.5,0.0,0
1,3826921.2000000784,0.29999992160802835,0.8711340206185567,0.10309278350515465,0.025773195876288662,3826923.5,0.0,1
2,3826919.850001185,0.0,2.4088733654616314,0.1929003596216428,0.0482250899054107,3826923.7999999216,0.008247422680412371,2
3,3826919.1273396765,0.7226615092224322,2.098451540015545,0.4412378199785121,0.11030945499462802,3826925.149998815,0.015432028769731423,3
4,3826915.8753674235,0.0,5.802666851507294,0.6575725796803528,0.1643931449200882,3826925.8726603235,0.035299025598280964,4
5,3826914.134570382,1.740797042022793,5.054900504663571,1.2557856571553319,0.31394641428883296,3826929.1246325765,0.05260580637442822,5
6,3826906.301010432,0.0,13.977856458263087,1.7769064873744045,0.4442266218436011,3826930.865429618,0.10046285257242656,6
7,3826902.1076712455,4.193339187408136,12.176586296115783,3.217922617092249,0.8044806542730623,3826938.698989568,0.14215251898995238,7
8,3826883.237801021,0.0,33.67067022291677,4.473223004981758,1.1183057512454395,3826942.8923287545,0.2574338093673799,8
9,3826873.136703587,10.101097433899392,29.331666328211,7.944426120746375,1.9861065301865937,3826961.762198979,0.3578578403985406,9
10,3826827.6826733267,0.0,81.10707143554771,10.968204190213829,2.742051047553457,3826971.863296413,0.6355540896597099,10
11,3826803.351154758,24.331518568519506,70.65512924024517,19.329757946455867,4.832439486613967,3827017.3173266733,0.8774563352171063,11
12,3826693.8645963473,0.0,195.36893132605175,26.61317786117283,6.653294465293207,3827041.648845242,1.5463806357164693,12
13,3826635.257418582,58.60717776527855,170.19252265001415,46.754304802002906,11.688576200500727,3827151.1354036527,2.1290542288938266,13
14,3826371.5557369567,0.0,470.57382245369314,64.29635247172494,16.074088117931236,3827209.742581418,3.7403443841602324,14
15,3826230.403914119,141.15182283763713,409.93286595192853,112.80911767313663,28.202279418284157,3827473.4442630433,5.143708197737996,15
16,3825595.3983411347,0.0,1133.2898028342502,155.04948482465554,38.762371206163884,3827614.596085881,9.024729413850931,16
17,3825255.5293010874,339.8690400479477,987.2473024690119,271.8834851168464,67.9708712792116,3828249.6016588653,12.403958785972444,17
18,3823727.1484395773,0.0,2728.4250976033377,373.54117025588323,93.38529256397081,3828589.4706989126,21.75067880934771,18
19,3822909.3043532497,817.8440863270513,2376.823925231773,654.8221081531345,163.70552703828363,3830117.8515604227,29.88329362047066,19
