,effects L,max L,effects I,max I
0,2118180.911901292,2602277.048749246,4163780.663359495,3297004.768776661
1,1411979.1168934014,5204548.957101176,2868218.0918010585,6854125.394112743
2,-3507525.3809978385,244920.1928234585,0.0,3297004.768776661
3,-1169057.9785031388,489839.9018448165,0.0,6854125.394112743
4,-34431.226456764154,2560573.060654636,-1823568.8361704145,2162338.4661412705
5,-11616.691793242353,5120375.343095787,-688902.5335350242,4341654.024407305
6,28507.574593234807,240995.1115910246,0.0,2162338.4661412705
7,9618.121162146912,481917.6793501917,0.0,4341654.024407305
