,S,E,I,R,D,C,L,time
0,7653844.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1,7653843.700000041,0.2999999608040142,0.8711340206185568,0.10309278350515466,0.025773195876288665,0.0,0.0,1
2,7653842.350000593,0.0,2.4088739236702206,0.1929003870591934,0.04822509676479835,0.0,0.008247422680412373,2
3,7653841.627338666,0.7226619268929236,2.0984520262900377,0.4412379049633399,0.11030947624083498,0.0,0.015432030964735473,3
4,7653838.375362265,0.0,5.802671560474047,0.6575729401008431,0.16439323502521078,0.0,0.03529903239706719,4
5,7653836.634562302,1.7407999614251202,5.054904606804711,1.255786503036312,0.313946625759078,0.0,0.05260583520806745,5
6,7653828.800975846,0.0,13.97788762510446,1.776909222726049,0.44422730568151225,0.0,0.10046292024290496,6
7,7653824.607618433,4.193357412457206,12.176613446611618,3.217928565520324,0.804482141380081,0.0,0.14215273781808394,7
8,7653805.737588137,0.0,33.67086105443178,4.4732406458413605,1.1183101614603401,0.0,0.2574342852416259,8
9,7653795.636381639,10.101206499267086,29.33183256803594,7.944463434958042,1.9861158587395105,0.0,0.35785925166730886,9
10,7653750.181406499,0.0,81.10820453815708,10.968311170065018,2.7420777925162545,0.0,0.6355570747966434,10
11,7653725.849246577,24.332159922136203,70.65611632447704,19.329981741009053,4.832495435252263,0.0,0.8774648936052014,11
12,7653616.357164655,0.0,195.37557232588964,26.613810415619515,6.653452603904879,0.0,1.5463985392807242,12
13,7653557.7462438885,58.61092076507304,170.19830785090386,46.75562199560813,11.688905498902033,0.0,2.1291048332495612,13
14,7653294.01241176,0.0,470.61252264670435,64.30005247517104,16.07501311879276,0.0,3.7404497596486506,14
15,7653152.838818549,141.17359320987094,409.9665790066651,112.81680738720242,28.204201846800604,0.0,5.1440041980136835,15
16,7652517.6464941595,0.0,1133.5147262901075,155.07102364008878,38.767755910022196,0.0,9.025344590976193,16
17,7652177.651049564,339.99544459664565,987.4432409434443,271.92821191741956,67.98205297935489,0.0,12.405681891207102,17
18,7650648.186879852,0.0,2729.730309360083,373.66624863125645,93.41656215781411,0.0,21.754256953393565,18
19,7649829.60982837,818.577051481054,2377.960939597185,655.0817444415742,163.77043611039355,0.0,29.893299890500515,19
20,7646149.0000404455,0.0,6571.146087816618,899.8830973897283,224.97077434743207,0.0,52.406539555325935,20
21,7644179.638415466,1969.3616249798129,5724.3489115515895,1577.320838401751,394.33020960043774,0.0,71.99064779117826,21
22,7635334.795522825,0.0,15803.40714787643,2165.437863439039,541.3594658597598,0.0,126.18566707214008,22
23,7630605.239156685,4729.556366139961,13766.885608201632,3794.6550951788777,948.6637737947194,0.0,173.23502907512312,23
24,7609421.864436645,0.0,37920.31753745314,5202.254420720796,1300.563605180199,0.0,303.57240761431024,24
25,7598111.796358083,11310.068078562199,33033.67867953393,9111.565507056172,2277.891376764043,0.0,416.18035365766366,25
26,7547785.423239855,0.0,90496.68621862205,12450.312433218302,3112.5781083045754,0.0,728.9252405644937,26
27,7521012.622023247,26772.80121660786,78834.74211828415,21779.86771348862,5444.966928372155,0.0,996.0249946574642,27
28,7403712.80022402,0.0,213217.2320116771,29531.974211442022,7382.993552860506,0.0,1742.3894170790898,28
29,7341838.050348375,61874.74987564505,185740.7845874919,51513.13215079018,12878.283037697545,0.0,2362.557936915362,29
30,7080262.207104719,0.0,487777.95259408443,68643.87224095741,17160.968060239353,0.0,4121.0505720632145,30
31,6944895.11501398,135367.09209073923,424919.96901237254,118930.25910632695,29732.564776581738,0.0,5491.509779276593,31
32,6415580.610800748,0.0,1047165.017738793,152879.4971683669,38219.87429209173,0.0,9514.420728506157,32
33,6152255.2527311575,263325.3580695907,912221.072153897,260834.65363628377,65208.66340907094,0.0,12230.359773469354,33
34,5268084.950726682,0.0,1991828.8506252693,315144.9589184391,78786.23972960978,0.0,20866.772290902703,34
35,4856796.627312677,411288.3234140045,1735149.8750292293,520488.13939527096,130122.03484881774,0.0,25211.59671347513,35
36,3776297.3174683605,0.0,3148220.8731401344,583461.4475132033,145865.3618783008,0.0,41639.05115162168,36
37,3310311.2135674986,465986.1039008625,2742522.3070138283,908020.3004142483,227005.07510356206,0.0,46676.91580105626,37
38,2406937.539279809,0.0,4034306.174954281,970081.0286127283,242520.2571531821,0.0,72641.62403313986,38
39,2026331.857660474,380605.6816193349,3514421.3585941927,1385988.8817007986,346497.22042519966,0.0,77606.48228901827,39
40,1471571.0299860095,0.0,4341654.024407305,1472495.9564853474,368123.98912133684,0.0,110879.11053606389,40
41,1221145.8273117999,250425.20267420993,3782162.5264166733,1920089.1548778533,480022.28871946334,0.0,117799.6765188278,41
42,925713.97927438,0.0,4158223.9257031092,2055925.676018009,513981.41900450224,0.0,153607.13239022827,42
43,774835.8513409077,150878.12793347237,3622370.3270300278,2484608.554956474,621152.1387391185,0.0,164474.05408144073,43
44,618823.3902346352,0.0,3709647.913264297,2660298.9572008546,665074.7393002136,0.0,198768.68439651793,44
45,528844.4228687014,89978.96736593382,3231600.501761166,3042736.8864033595,760684.2216008399,0.0,212823.91657606838,45
46,442329.018879334,0.0,3170081.684713363,3233147.437125842,808286.8592814605,0.0,243418.95091226877,46
47,387367.6580979252,54961.360781408875,2761566.0036935997,3559959.9819416534,889989.9954854134,0.0,258651.79497006736,47
48,336410.27412358415,0.0,2637210.1085570822,3744179.6938554673,936044.9234638668,0.0,284796.7985553323,48
49,301636.2000912053,34774.07403237883,2297363.4450832317,4016057.024634548,1004014.256158637,0.0,299534.3755084374,49
50,269914.0838189043,0.0,2156138.0755090592,4182234.2725376296,1045558.5681344074,0.0,321284.56197076384,50
51,247103.11626319538,22810.96755570892,1878285.2307269638,4404516.548363306,1101129.1370908264,0.0,334578.7418030104,51
52,226412.69871044756,0.0,1742470.9712511837,4547969.064030696,1136992.266007674,0.0,352361.32386906445,52
53,210949.1942224838,15463.5044879637,1517925.7429971648,4727605.246633911,1181901.3116584776,0.0,363837.52512245567,53
54,196930.94297001947,0.0,1396956.1758939705,4847966.304908808,1211991.576227202,0.0,378208.41973071283,54
55,186147.97452710252,10782.968442916937,1216936.0501344383,4991982.405516434,1247995.6013791086,0.0,387837.3043927047,55
56,176355.44025719076,0.0,1113652.3843617889,5091069.7403048165,1272767.4350762041,0.0,399358.5924413148,56
57,168657.40130274656,7698.0389544442105,970140.4791605275,5205879.264465826,1301469.8161164564,0.0,407285.5792243853,57
58,161647.93231677022,0.0,884200.6015432816,5286397.172911959,1321599.2932279897,0.0,416470.34115726606,58
59,156045.68146144,5602.250855330198,770257.2250557452,5377551.874101988,1344387.968525497,0.0,422911.77383295674,59
