Time;Susceptible;Exposed;Infected;Recovered;Death;2nd Effects Cases
0;7653845;0;0;0;0;0
0,25;7653844,75;0,25;0;0;0;0
0,5;7653844,5;0,488636364;0,011363636;0;0;0
0,75;7653844,496;0,470118801;0,033201068;0,000370139;3,17316E-06;0,000314619
1;7653844,486;0,459540111;0,053479399;0,001451574;1,24442E-05;0,001233838
1,25;7653844,468;0,456032728;0,072610707;0,003193519;2,73776E-05;0,002714491
1,5;7653844,445;0,458902445;0,090954095;0,005558615;4,76533E-05;0,004724823
1,75;7653844,415;0,467603322;0,108825318;0,008521197;7,30511E-05;0,007243017
2;7653844,38;0,481716851;0,126504938;0,012065885;0,000103439;0,010256002
2,25;7653844,338;0,500934733;0,14424528;0,016186438;0,000138764;0,013758472
2,5;7653844,292;0,525044684;0,162276366;0,020884835;0,000179043;0,01775211
2,75;7653844,239;0,553918831;0,180811009;0,026170545;0,000224357;0,022244963
3;7653844,18;0,587504274;0,200049223;0,032059971;0,000274846;0,027250975
3,25;7653844,115;0,625815525;0,220182043;0,038576029;0,000330707;0,032789624
3,5;7653844,044;0,66892852;0,241394891;0,045747858;0,00039219;0,03888568
3,75;7653843,965;0,716976008;0,263870546;0,053610639;0,000459597;0,045569043
4;7653843,879;0,770144105;0,287791818;0,062205502;0,00053328;0,052874677
4,25;7653843,786;0,828669882;0,313343972;0,071579536;0,000613642;0,060842606
4,5;7653843,684;0,892839844;0,340716962;0,081785861;0,00070114;0,069517982
4,75;7653843,573;0,962989209;0,370107524;0,092883787;0,000796281;0,078951219
5;7653843,453;1,039501895;0,40172117;0,104939031;0,000899629;0,089198176
5,25;7653843,322;1,122811163;0,435774108;0,118024003;0,001011804;0,100320402
5,5;7653843,181;1,213400846;0,472495141;0,132218156;0,001133489;0,112385433
5,75;7653843,027;1,311807146;0,512127546;0,147608397;0,001265428;0,125467137
6;7653842,861;1,418620958;0,554930979;0,164289555;0,001408433;0,139646122
6,25;7653842,68;1,534490705;0,601183429;0,182364919;0,001563391;0,155010181
6,5;7653842,485;1,660125683;0,651183222;0,20194683;0,001731264;0,171654805
6,75;7653842,273;1,796299902;0,705251128;0,223157348;0,001913099;0,189683746
7;7653842,044;1,943856442;0,763732558;0,24612898;0,002110032;0,209209633
7,25;7653841,796;2,103712316;0,8269999;0,271005486;0,002323295;0,230354663
