Time;Susceptible;Exposed;Infected;Recovered;Death;2nd Effects Cases
17,75;7653842,537;0,858737934;0,744222618;0,852366141;0,007307224;0,72451122
18;7653842,482;0,87552107;0,758807323;0,876607163;0,007515039;0,745116089
18,25;7653842,425;0,892635188;0,773675768;0,901323243;0,007726926;0,766124757
18,5;7653842,367;0,910086525;0,788833677;0,926523622;0,007942966;0,787545078
18,75;7653842,307;0,927881461;0,804286868;0,952217728;0,008163238;0,809385069
19;7653842,247;0,946026525;0,820041259;0,978415179;0,008387826;0,831652902
19,25;7653842,186;0,964528391;0,83610287;1,005125787;0,008616812;0,854356919
19,5;7653842,123;0,983393884;0,852477827;1,032359559;0,008850284;0,877505625
19,75;7653842,059;1,002629975;0,869172364;1,060126699;0,009088328;0,901107694
20;7653841,994;1,022243788;0,886192828;1,088437619;0,009331034;0,925171976
20,25;7653841,927;1,042242597;0,903545681;1,117302934;0,009578492;0,949707494
20,5;7653841,86;1,062633832;0,921237504;1,146733471;0,009830796;0,97472345
20,75;7653841,79;1,083425079;0,939274997;1,176740271;0,010088041;1,00022923
21;7653841,72;1,10462408;0,957664989;1,207334593;0,010350322;1,026234404
21,25;7653841,648;1,126238738;0,976414432;1,238527918;0,010617738;1,052748731
21,5;7653841,575;1,148277118;0,995530412;1,270331956;0,01089039;1,079782163
21,75;7653841,5;1,170747452;1,015020148;1,302758645;0,01116838;1,107344848
22;7653841,424;1,193658135;1,034890996;1,335820159;0,011451812;1,135447135
22,25;7653841,347;1,217017735;1,055150451;1,369528911;0,011740792;1,164099574
22,5;7653841,267;1,240834994;1,075806152;1,40389756;0,01203543;1,193312926
22,75;7653841,187;1,265118825;1,096865885;1,438939012;0,012335836;1,22309816
23;7653841,104;1,289878324;1,118337584;1,474666427;0,012642123;1,253466463
23,25;7653841,021;1,315122768;1,140229337;1,511093225;0,012954405;1,284429241
23,5;7653840,935;1,340861616;1,162549388;1,548233086;0,0132728;1,315998123
23,75;7653840,848;1,367104519;1,185306139;1,586099963;0,013597428;1,348184968
24;7653840,759;1,393861317;1,208508156;1,624708078;0,01392841;1,381001867
24,25;7653840,668;1,421142046;1,232164169;1,664071936;0,014265871;1,414461146
24,5;7653840,576;1,448956941;1,25628308;1,704206324;0,014609938;1,448575376
24,75;7653840,482;1,477316438;1,280873961;1,74512632;0,01496074;1,483357372
25;7653840,386;1,506231182;1,305946063;1,786847297;0,015318408;1,518820202
25,25;7653840,288;1,535712024;1,331508815;1,829384929;0,015683078;1,55497719
25,5;7653840,188;1,565770032;1,357571831;1,872755198;0,016054886;1,591841918
25,75;7653840,086;1,59641649;1,38414491;1,916974399;0,016433971;1,629428239
26;7653839,982;1,627662906;1,411238043;1,962059145;0,016820477;1,667750273
26,25;7653839,876;1,659521012;1,438861419;2,008026377;0,017214548;1,70682242
26,5;7653839,768;1,692002774;1,46702542;2,054893364;0,017616332;1,746659359
26,75;7653839,658;1,725120388;1,495740635;2,102677717;0,018025981;1,787276059
27;7653839,546;1,758886295;1,525017858;2,15139739;0,018443649;1,828687781
27,25;7653839,432;1,793313176;1,554868094;2,201070688;0,018869492;1,870910085
27,5;7653839,315;1,828413963;1,585302562;2,251716277;0,01930367;1,913958835
27,75;7653839,196;1,864201842;1,616332703;2,303353185;0,019746346;1,957850207
28;7653839,075;1,900690255;1,647970179;2,356000816;0,020197687;2,002600693
28,25;7653838,952;1,937892912;1,68022688;2,409678951;0,020657863;2,048227108
28,5;7653838,826;1,975823787;1,713114929;2,46440776;0,021127046;2,094746596
28,75;7653838,697;2,014497131;1,746646687;2,520207808;0,021605412;2,142176636
29;7653838,566;2,053927474;1,780834755;2,577100061;0,022093142;2,190535052
29,25;7653838,432;2,094129629;1,815691982;2,635105897;0,022590419;2,239840013
29,5;7653838,296;2,135118701;1,851231467;2,694247113;0,023097429;2,290110046
29,75;7653838,157;2,17691009;1,887466566;2,75454593;0,023614362;2,341364041
30;7653838,016;2,219519497;1,924410895;2,816025007;0,024141415;2,393621256
30,25;7653837,872;2,262962933;1,962078339;2,878707445;0,024678783;2,446901328
30,5;7653837,724;2,307256721;2,000483052;2,942616797;0,025226669;2,501224277
