,S,E,I,R,D,C,L,time
0,3826921.5,0.0,1.0,0.0,0.0,3826923.5,0.0,0
1,3826921.2000000784,0.29999992160802835,0.8711340206185567,0.10309278350515465,0.025773195876288662,3826923.5,0.0,1
2,3826919.850001185,0.0,2.4088733654616314,0.1929003596216428,0.0482250899054107,3826923.7999999216,0.08762886597938145,2
3,3826919.1273396765,0.7226615092224322,2.098451540015545,0.4412378199785121,0.11030945499462802,3826925.149998815,0.16396530567839637,3
4,3826915.8753674235,0.0,5.802666851507294,0.6575725796803528,0.1643931449200882,3826925.8726603235,0.3750521469817353,4
5,3826914.134570382,1.740797042022793,5.054900504663571,1.2557856571553319,0.31394641428883296,3826929.1246325765,0.5589366927282998,5
6,3826906.301010432,0.0,13.977856458263087,1.7769064873744045,0.4442266218436011,3826930.865429618,1.067417808582032,6
7,3826902.1076712455,4.193339187408136,12.176586296115783,3.217922617092249,0.8044806542730623,3826938.698989568,1.5103705142682438,7
8,3826883.237801021,0.0,33.67067022291677,4.473223004981758,1.1183057512454395,3826942.8923287545,2.7352342245284116,8
9,3826873.136703587,10.101097433899392,29.331666328211,7.944426120746375,1.9861065301865937,3826961.762198979,3.8022395542344944,9
10,3826827.6826733267,0.0,81.10707143554771,10.968204190213829,2.742051047553457,3826971.863296413,6.752762202634418,10
11,3826803.351154758,24.331518568519506,70.65512924024517,19.329757946455867,4.832439486613967,3827017.3173266733,9.322973561681755,11
12,3826693.8645963473,0.0,195.36893132605175,26.61317786117283,6.653294465293207,3827041.648845242,16.430294254487485,12
13,3826635.257418582,58.60717776527855,170.19252265001415,46.754304802002906,11.688576200500727,3827151.1354036527,22.621201181996906,13
14,3826371.5557369567,0.0,470.57382245369314,64.29635247172494,16.074088117931236,3827209.742581418,39.74115908170247,14
15,3826230.403914119,141.15182283763713,409.93286595192853,112.80911767313663,28.202279418284157,3827473.4442630433,54.6518996009662,15
16,3825595.3983411347,0.0,1133.2898028342502,155.04948482465554,38.762371206163884,3827614.596085881,95.88775002216613,16
17,3825255.5293010874,339.8690400479477,987.2473024690119,271.8834851168464,67.9708712792116,3828249.6016588653,131.7920621009572,17
18,3823727.1484395773,0.0,2728.4250976033377,373.54117025588323,93.38529256397081,3828589.4706989126,231.10096234931942,18
19,3822909.3043532497,817.8440863270513,2376.823925231773,654.8221081531345,163.70552703828363,3830117.8515604227,317.5099947175007,19
